,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),toDrop
255,89,111,1067,782,1220,1560,153,10730,54,621,14,0
256,93,123,1114,862,1301,1633,163,10868,71,590,17,0
257,81,106,1000,870,1279,1646,189,10700,73,496,18,0
258,82,103,906,883,1267,1617,194,10249,76,461,18,0
259,80,102,822,848,1239,1568,208,10091,68,416,19,0
260,48,48,610,742,1128,1507,214,10126,46,403,13,0
261,61,63,657,916,1243,1669,212,9791,84,393,16,0
262,89,98,647,853,1208,1506,203,8942,69,380,19,0
263,105,132,762,938,1306,1607,194,9206,90,413,23,0
264,116,173,1122,1151,1546,1874,185,9252,151,438,38,0
265,119,185,1130,1071,1501,1744,178,9689,126,481,35,0
266,144,266,1637,1153,1605,1840,179,9520,151,469,43,0
267,123,188,1272,974,1316,1673,174,9688,99,491,28,0
268,105,122,1098,898,1195,1594,170,9914,80,517,19,0
269,93,112,1066,896,1211,1624,164,10198,79,551,19,0
270,86,93,909,815,1161,1582,161,10919,61,600,17,0
271,76,74,818,767,1095,1547,158,10805,51,605,15,0
272,33,23,472,563,897,1355,163,10491,17,570,6,0
273,-200,-200,394,468,842,1274,169,10309,7,539,4,1
274,27,17,396,481,854,1304,161,10153,8,559,-200,1
275,23,15,378,472,845,1278,165,10049,7,539,3,0
276,46,41,432,586,942,1373,164,9979,20,540,6,0
277,76,86,699,768,1090,1538,157,10195,51,576,12,0
278,116,226,1252,1230,1514,1996,158,9571,177,537,36,0
279,115,214,1237,1252,1379,1962,174,8281,184,421,37,0
280,83,115,772,854,1074,1484,179,7793,69,384,18,0
281,87,124,766,868,1090,1509,185,7764,73,367,16,0
282,90,122,829,964,1110,1577,210,7263,96,296,19,0
283,87,107,783,994,1102,1599,213,7067,104,281,2,0
284,99,133,822,1021,1100,1607,213,6539,112,261,22,0
285,99,130,813,1003,1094,1574,213,6681,107,268,21,0
286,101,150,813,1034,1076,1544,213,6060,116,242,23,0
287,103,138,850,1062,1152,1606,202,6682,124,285,26,0
288,129,213,1276,1249,1407,1932,170,8264,183,431,38,0
289,143,232,1401,1325,1438,1993,156,8347,210,474,44,0
290,146,238,1356,1325,1425,1965,153,8178,210,474,45,0
291,124,180,1243,1131,1279,1758,145,8177,145,497,33,0
292,113,128,1083,916,1132,1561,139,8231,84,520,2,0
293,80,65,795,729,1006,1370,145,8106,43,494,11,0
294,72,53,735,700,982,1359,138,8071,38,514,9,0
295,64,47,684,636,969,1309,140,8163,27,513,8,0
296,70,51,714,621,941,1330,130,8444,25,568,7,0
297,-200,-200,456,522,892,1285,110,9215,12,700,5,1
298,31,20,401,478,855,1261,101,9483,8,768,-200,1
299,22,13,361,459,834,1212,88,9147,6,805,3,0
300,47,33,418,567,909,1287,96,9004,18,754,5,0
301,88,103,616,745,1061,1429,98,9093,46,750,11,0
302,130,224,1089,1124,1441,1829,100,9117,142,742,3,0
303,132,244,1329,1325,1498,2095,112,9232,210,697,38,0
304,132,237,1311,1185,1343,1857,120,8803,162,629,34,0
305,131,220,1236,1166,1308,1794,128,8210,155,558,3,0
306,129,207,1147,1097,1209,1746,131,8234,134,548,27,0
307,132,208,1301,1207,1310,1847,138,8351,169,534,35,0
308,110,160,1097,1064,1171,1639,160,7674,124,424,28,0
309,99,131,900,980,1112,1589,141,7971,101,498,19,0
310,100,128,781,927,1132,1570,120,8537,87,611,2,0
311,122,176,1013,1111,1225,1719,136,8465,138,546,3,0
312,97,107,790,953,1065,1514,137,7695,93,495,19,0
313,112,131,1059,1084,1236,1688,117,7822,130,571,27,0
314,128,166,1205,1126,1309,1722,115,7867,143,582,33,0
315,101,89,975,884,1089,1487,126,7881,76,542,17,0
316,96,81,896,776,1000,1375,120,7664,53,549,13,0
317,86,78,911,782,1041,1425,110,8057,54,614,13,0
318,85,70,902,756,1045,1411,111,8199,49,622,12,0
319,79,76,832,744,997,1405,108,8082,46,625,11,0
320,61,43,715,634,948,1326,113,8025,27,600,9,0
321,-200,-200,683,551,878,1272,106,7856,16,616,6,1
322,66,44,721,559,908,1287,102,7813,17,627,-200,1
323,54,34,648,522,892,1255,109,7628,12,586,6,0
324,57,43,612,561,954,1255,108,7382,17,572,8,0
325,75,79,800,751,1045,1403,104,7455,48,592,12,0
326,97,174,1173,1109,1383,1706,110,7501,138,573,31,0
327,110,235,1519,1395,1597,2080,112,7565,237,569,44,0
328,113,218,1287,1124,1318,1770,121,7734,142,549,34,0
329,88,136,966,898,1138,1505,151,7535,80,443,17,0
330,85,117,828,842,1098,1440,156,7146,67,406,15,0
331,96,119,825,927,1118,1477,169,6597,87,346,17,0
332,106,126,872,1009,1170,1566,166,6697,108,356,22,0
333,91,100,680,842,1112,1494,113,8554,67,639,-200,1
334,126,197,1002,1028,1390,1730,96,9720,114,811,27,0
335,130,195,1159,1096,1353,1783,117,9497,134,691,28,0
336,111,156,979,1050,1260,1722,107,8794,120,685,27,0
337,134,247,1311,1302,1501,2008,107,8643,202,673,45,0
338,136,190,1071,1130,1273,1744,108,8486,144,657,35,0
339,125,169,899,955,1179,1571,103,8336,94,663,26,0
340,108,118,766,809,1047,1435,101,8248,59,669,17,0
341,87,81,589,739,973,1354,104,7717,45,611,13,0
342,89,80,631,737,997,1341,103,7516,45,599,13,0
343,58,42,479,621,970,1249,110,7686,25,584,1,0
344,54,38,479,568,902,1253,91,7890,18,681,7,0
345,-200,-200,417,538,921,1224,95,8091,14,682,7,1
346,28,18,378,490,858,1212,93,8496,9,723,5,0
347,20,12,344,457,878,1158,99,8152,6,668,5,0
348,51,43,413,540,893,1268,76,8695,14,832,6,0
349,82,84,605,697,1038,1383,81,8544,38,790,11,0
350,112,184,991,1035,1320,1721,87,8429,116,746,27,0
351,119,202,1175,1235,1353,1937,86,8415,178,751,35,0
352,99,133,923,933,1133,1552,97,8389,88,697,23,0
353,98,130,829,849,1066,1468,110,8447,68,644,16,0
354,88,106,733,809,1027,1442,136,8209,59,530,13,0
355,96,132,819,935,1106,1570,142,7780,89,484,2,0
356,81,106,723,907,1038,1492,142,7438,82,463,19,0
357,92,125,786,924,1084,1501,160,7462,86,413,19,0
358,105,138,850,982,1105,1545,177,7094,101,354,22,0
359,88,120,820,957,1102,1527,171,7225,94,374,2,0
360,103,158,991,1137,1240,1748,149,6835,146,405,29,0
361,141,253,1454,1418,1443,2060,134,7293,246,478,52,0
362,133,231,1488,1341,1389,1982,126,7642,216,525,46,0
363,119,150,1205,989,1183,1539,122,7555,103,532,25,0
364,106,99,909,798,1014,1376,106,7140,57,561,15,0
365,92,75,769,736,979,1324,99,7276,45,595,12,0
366,97,93,835,787,1048,1373,96,7323,55,611,17,0
367,91,79,793,753,1024,1357,97,7425,48,616,14,0
368,83,67,733,690,974,1313,94,7398,36,626,12,0
369,-200,-200,502,561,862,1219,82,7455,17,685,6,1
370,59,45,562,602,925,1263,80,7459,22,694,7,0
371,73,72,832,654,952,1312,77,7655,30,724,8,0
372,78,103,924,713,1005,1363,80,7711,40,718,9,0
373,90,132,974,842,1122,1438,85,7375,67,663,16,0
374,110,239,1307,1201,1351,1828,98,7214,167,596,34,0
375,114,275,1481,1278,1408,1928,112,7544,193,570,38,0
376,119,232,1405,1142,1304,1747,148,7407,148,441,31,0
377,121,180,1195,1098,1207,1664,168,6729,134,353,27,0
378,97,112,868,1014,1099,1503,192,5976,110,271,2,0
379,99,116,874,1068,1106,1535,191,5741,125,262,23,0
380,85,103,738,916,1009,1391,163,5683,84,308,19,0
381,75,89,550,776,962,1279,142,5922,53,368,13,0
382,87,112,777,933,1093,1454,134,6292,88,410,19,0
383,102,127,966,1023,1180,1588,142,6982,112,433,23,0
384,105,125,990,1037,1168,1580,121,6403,116,456,24,0
385,98,120,944,1063,1168,1540,104,6046,124,480,27,0
386,93,120,962,1000,1140,1490,100,6280,106,511,26,0
387,91,99,778,811,1001,1308,98,6172,60,508,15,0
388,85,79,690,743,953,1252,97,6063,46,504,12,0
389,74,66,644,715,972,1258,99,6103,41,502,11,0
390,87,94,753,776,1021,1307,94,6300,52,534,15,0
391,79,70,646,664,940,1232,86,6488,32,578,1,0
392,78,75,838,736,1046,1312,81,6746,45,621,12,0
393,-200,-200,851,699,1026,1292,79,6777,38,635,11,1
394,63,57,801,698,983,1296,74,6683,38,648,-200,1
395,48,32,665,578,915,1212,82,6444,19,589,8,0
396,59,54,717,615,935,1250,63,6410,24,666,9,0
397,65,68,795,669,976,1266,72,6396,33,629,11,0
398,71,98,936,842,1124,1418,72,6500,67,639,15,0
399,84,128,1076,919,1163,1530,111,6654,85,505,18,0
400,93,129,1016,966,1167,1520,155,6313,97,361,21,0
401,99,130,834,955,1121,1451,178,5920,94,292,21,0
402,93,111,756,940,1071,1449,176,6013,90,301,19,0
403,96,106,766,979,1065,1467,191,5861,100,268,21,0
404,114,137,905,1072,1157,1596,177,5735,126,286,25,0
405,101,113,765,883,1046,1357,178,5737,76,284,19,0
406,108,122,830,1042,1147,1538,187,5555,118,260,22,0
407,117,137,853,1022,1119,1508,171,6038,112,313,23,0
408,125,165,981,1062,1210,1586,158,6440,124,361,27,0
409,133,196,1286,1079,1306,1621,147,6657,129,401,3,0
410,119,174,1244,1057,1258,1633,136,6991,122,449,28,0
411,107,140,1056,930,1148,1475,125,6946,88,481,22,0
412,96,102,1003,848,1108,1421,118,7042,68,508,16,0
413,105,130,1245,924,1231,1483,109,7326,86,561,21,0
414,102,121,1200,937,1293,1464,109,7277,89,559,23,0
415,97,111,1188,912,1274,1451,103,7278,83,581,23,0
416,79,87,1070,827,1135,1395,93,7294,63,622,17,0
417,-200,-200,1075,911,1151,1501,82,7276,83,667,22,1
418,69,77,895,769,1010,1396,83,7124,51,649,13,0
419,52,39,755,626,870,1284,96,7000,26,585,8,0
420,62,77,806,688,983,1342,77,6990,36,664,11,0
421,69,91,836,691,995,1321,74,7043,36,680,14,0
422,75,105,897,747,1024,1382,97,7035,47,586,13,0
423,83,133,1073,880,1163,1486,125,7242,75,501,19,0
424,94,128,1088,938,1218,1501,168,7018,90,369,23,0
425,96,126,1036,958,1210,1514,192,6887,95,313,23,0
426,86,92,768,887,1114,1438,213,6607,77,264,18,0
427,72,66,587,796,995,1287,212,5768,57,231,14,0
428,53,50,452,700,927,1189,186,5319,38,250,1,0
429,65,70,470,754,1002,1260,180,5594,48,273,14,0
430,70,73,502,727,987,1244,182,5848,43,283,13,0
431,75,77,516,714,993,1238,170,6048,41,314,13,0
432,86,86,555,746,1012,1301,156,6170,47,350,14,0
433,94,93,671,823,1114,1357,141,6438,62,402,19,0
434,103,105,788,789,1093,1329,134,6623,55,432,18,0
435,81,67,538,669,968,1246,123,6686,33,468,11,0
436,80,63,544,666,960,1224,119,6449,32,465,11,0
437,77,63,500,648,942,1204,115,6319,29,466,11,0
438,58,46,417,598,888,1156,106,6135,22,480,9,0
439,31,21,341,524,818,1071,107,5895,13,458,6,0
440,38,22,352,509,840,1076,104,5901,11,466,5,0
441,-200,-200,397,524,894,1095,101,5913,13,478,7,1
442,59,39,502,516,864,1153,113,6280,12,469,6,0
443,70,55,648,559,898,1180,101,6341,17,512,7,0
444,75,76,760,643,946,1232,99,6167,29,507,9,0
445,103,181,1183,1125,1309,1687,81,6150,143,568,29,0
446,134,259,1431,1289,1326,1806,109,5748,197,441,41,0
447,98,118,705,786,966,1258,118,5184,55,376,15,0
448,97,119,637,793,975,1254,139,5222,56,332,15,0
449,98,123,658,803,988,1293,156,5285,58,301,15,0
450,78,92,546,786,971,1272,165,5406,55,290,14,0
451,83,91,561,833,1010,1332,175,5517,65,279,16,0
452,92,103,532,790,984,1268,179,5446,55,268,15,0
453,81,102,535,776,962,1247,182,5387,52,261,14,0
454,90,94,525,801,1012,1289,180,5522,58,271,15,0
455,95,98,603,896,1058,1358,170,5558,79,289,19,0
456,114,126,802,985,1173,1477,161,5680,102,313,25,0
457,106,108,796,907,1127,1404,145,5839,82,354,21,0
458,99,95,689,797,1020,1302,132,5733,57,379,16,0
459,90,78,553,700,949,1178,131,5170,38,344,12,0
460,82,61,509,710,930,1137,135,4405,40,285,11,0
461,74,55,455,643,900,1089,124,4583,28,319,1,0
462,76,57,425,630,899,1050,131,4023,26,268,1,0
463,66,41,436,569,866,1055,116,4595,18,336,7,0
464,73,46,618,563,900,1130,105,5442,17,429,7,0
