,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),NMHC(GT),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),target
21,126.0,184.0,946.0,933.0,79.0,1310.0,1647.0,83.0,8778.0,88.0,798.0,22.0,29.0
22,131.0,193.0,957.0,912.0,95.0,1292.0,1591.0,97.0,8569.0,83.0,712.0,22.0,22.0
23,135.0,243.0,1104.0,1020.0,150.0,1383.0,1719.0,98.0,8185.0,112.0,676.0,29.0,22.0
24,151.0,281.0,1409.0,1319.0,307.0,1581.0,2083.0,103.0,8065.0,208.0,642.0,48.0,29.0
25,172.0,383.0,1704.0,1488.0,461.0,1776.0,2333.0,97.0,8319.0,274.0,693.0,69.0,48.0
26,165.0,351.0,1654.0,1404.0,401.0,1640.0,2191.0,96.0,8133.0,240.0,678.0,61.0,69.0
27,136.0,240.0,1285.0,1076.0,197.0,1313.0,1707.0,91.0,7419.0,128.0,640.0,39.0,61.0
28,85.0,94.0,821.0,749.0,61.0,965.0,1333.0,82.0,6905.0,47.0,634.0,15.0,39.0
29,53.0,47.0,552.0,629.0,26.0,913.0,1252.0,82.0,6657.0,26.0,608.0,1.0,15.0
30,97.0,122.0,816.0,805.0,55.0,1080.0,1375.0,83.0,6438.0,59.0,585.0,17.0,1.0
31,110.0,133.0,832.0,829.0,53.0,1044.0,1378.0,77.0,6308.0,64.0,597.0,19.0,17.0
32,91.0,82.0,692.0,718.0,40.0,988.0,1304.0,71.0,6276.0,41.0,618.0,14.0,19.0
33,-200.0,-200.0,512.0,574.0,21.0,889.0,1187.0,70.0,6261.0,19.0,623.0,8.0,14.0
34,32.0,21.0,384.0,506.0,10.0,831.0,1134.0,61.0,6248.0,11.0,659.0,-200.0,8.0
35,44.0,30.0,394.0,501.0,7.0,847.0,1155.0,63.0,6233.0,10.0,650.0,6.0,-200.0
36,71.0,56.0,487.0,571.0,17.0,927.0,1223.0,68.0,6234.0,18.0,629.0,8.0,6.0
37,104.0,109.0,748.0,730.0,33.0,1091.0,1361.0,64.0,6316.0,44.0,651.0,14.0,8.0
38,141.0,307.0,1400.0,1236.0,202.0,1587.0,1900.0,73.0,6499.0,179.0,631.0,44.0,14.0
39,-200.0,-200.0,1588.0,1353.0,-200.0,1545.0,2058.0,92.0,6561.0,221.0,562.0,-200.0,44.0
40,122.0,187.0,1237.0,1118.0,208.0,1350.0,1712.0,132.0,6320.0,140.0,417.0,31.0,-200.0
41,143.0,216.0,1167.0,1037.0,166.0,1263.0,1598.0,143.0,6243.0,116.0,384.0,27.0,31.0
42,113.0,143.0,959.0,986.0,114.0,1206.0,1537.0,150.0,6195.0,102.0,365.0,21.0,27.0
43,116.0,160.0,983.0,1016.0,140.0,1252.0,1593.0,161.0,6262.0,110.0,345.0,25.0,21.0
44,123.0,163.0,1061.0,1078.0,169.0,1287.0,1660.0,163.0,6560.0,128.0,357.0,27.0,25.0
45,126.0,190.0,1139.0,1122.0,185.0,1353.0,1740.0,158.0,6610.0,142.0,370.0,29.0,27.0
46,120.0,178.0,1112.0,1073.0,165.0,1309.0,1657.0,159.0,6657.0,127.0,372.0,28.0,29.0
47,119.0,150.0,994.0,1041.0,133.0,1274.0,1610.0,169.0,6549.0,117.0,343.0,24.0,28.0
48,149.0,206.0,1410.0,1277.0,233.0,1510.0,1910.0,151.0,6766.0,193.0,396.0,39.0,24.0
49,145.0,202.0,1448.0,1246.0,242.0,1525.0,1847.0,144.0,7084.0,182.0,434.0,37.0,39.0
50,170.0,340.0,1887.0,1610.0,488.0,1843.0,2390.0,129.0,7478.0,326.0,505.0,66.0,37.0
51,149.0,274.0,1627.0,1299.0,333.0,1598.0,1941.0,121.0,7536.0,201.0,533.0,44.0,66.0
52,139.0,253.0,1491.0,1127.0,215.0,1484.0,1723.0,110.0,7740.0,143.0,591.0,35.0,44.0
53,134.0,300.0,1657.0,1346.0,367.0,1677.0,2062.0,97.0,7771.0,218.0,646.0,54.0,35.0
54,113.0,193.0,1285.0,964.0,122.0,1280.0,1544.0,95.0,7597.0,96.0,641.0,27.0,54.0
55,97.0,139.0,1144.0,873.0,67.0,1196.0,1463.0,91.0,7423.0,74.0,639.0,19.0,27.0
56,82.0,83.0,1043.0,782.0,43.0,1184.0,1365.0,88.0,7256.0,54.0,639.0,16.0,19.0
57,-200.0,-200.0,996.0,783.0,46.0,1172.0,1380.0,78.0,7173.0,54.0,675.0,17.0,16.0
58,83.0,109.0,992.0,821.0,56.0,1147.0,1412.0,70.0,7158.0,62.0,711.0,-200.0,17.0
59,65.0,62.0,819.0,625.0,30.0,978.0,1274.0,83.0,6982.0,26.0,636.0,1.0,-200.0
60,60.0,53.0,835.0,646.0,27.0,1100.0,1268.0,72.0,6887.0,29.0,675.0,12.0,1.0
61,77.0,139.0,940.0,770.0,47.0,1112.0,1409.0,63.0,6932.0,51.0,719.0,15.0,12.0
62,96.0,256.0,1192.0,1043.0,132.0,1336.0,1678.0,65.0,6945.0,118.0,716.0,27.0,15.0
63,119.0,295.0,1411.0,1153.0,239.0,1408.0,1777.0,96.0,7124.0,151.0,597.0,37.0,27.0
64,126.0,250.0,1465.0,1081.0,160.0,1447.0,1667.0,124.0,7335.0,129.0,512.0,32.0,37.0
65,158.0,296.0,1583.0,1184.0,283.0,1542.0,1780.0,156.0,7451.0,161.0,422.0,41.0,32.0
66,161.0,239.0,1387.0,1117.0,210.0,1451.0,1679.0,184.0,7090.0,140.0,338.0,36.0,41.0
67,124.0,153.0,1101.0,1059.0,154.0,1328.0,1600.0,194.0,6950.0,123.0,313.0,28.0,36.0
68,102.0,118.0,850.0,924.0,112.0,1207.0,1488.0,180.0,7127.0,86.0,348.0,2.0,28.0
69,116.0,119.0,947.0,947.0,108.0,1240.0,1532.0,184.0,7042.0,92.0,336.0,2.0,2.0
70,124.0,138.0,1078.0,987.0,111.0,1306.0,1554.0,176.0,7012.0,102.0,351.0,25.0,2.0
71,125.0,148.0,1084.0,1000.0,97.0,1326.0,1602.0,167.0,7117.0,106.0,378.0,23.0,25.0
72,148.0,227.0,1395.0,1163.0,191.0,1473.0,1779.0,161.0,7451.0,155.0,410.0,32.0,23.0
73,165.0,277.0,1612.0,1286.0,258.0,1609.0,1922.0,158.0,7569.0,196.0,424.0,42.0,32.0
74,161.0,279.0,1697.0,1274.0,284.0,1611.0,1915.0,157.0,7786.0,192.0,441.0,42.0,42.0
75,159.0,283.0,1886.0,1247.0,269.0,1621.0,1860.0,153.0,8091.0,183.0,468.0,42.0,42.0
76,143.0,214.0,1624.0,1089.0,180.0,1444.0,1748.0,146.0,8060.0,131.0,486.0,31.0,42.0
77,130.0,172.0,1536.0,1010.0,116.0,1418.0,1603.0,147.0,8193.0,109.0,493.0,26.0,31.0
78,129.0,190.0,1535.0,1013.0,93.0,1534.0,1611.0,139.0,8498.0,110.0,536.0,29.0,26.0
79,119.0,174.0,1530.0,1045.0,131.0,1484.0,1624.0,146.0,8536.0,119.0,515.0,28.0,29.0
80,104.0,128.0,1337.0,925.0,92.0,1367.0,1543.0,125.0,8537.0,86.0,589.0,25.0,28.0
81,-200.0,-200.0,1278.0,968.0,132.0,1344.0,1620.0,116.0,8674.0,97.0,634.0,24.0,25.0
82,82.0,70.0,1051.0,773.0,56.0,1130.0,1452.0,121.0,8603.0,52.0,611.0,-200.0,24.0
83,70.0,53.0,929.0,691.0,32.0,1062.0,1377.0,115.0,8533.0,37.0,631.0,12.0,-200.0
84,63.0,44.0,872.0,618.0,29.0,1076.0,1333.0,116.0,8473.0,25.0,622.0,1.0,12.0
85,67.0,74.0,853.0,615.0,27.0,1028.0,1340.0,104.0,8530.0,24.0,676.0,9.0,1.0
86,84.0,101.0,959.0,722.0,36.0,1155.0,1414.0,116.0,8530.0,42.0,627.0,14.0,9.0
87,83.0,118.0,1093.0,828.0,57.0,1235.0,1527.0,124.0,8627.0,64.0,600.0,16.0,14.0
88,98.0,144.0,1225.0,923.0,129.0,1332.0,1614.0,145.0,8728.0,86.0,531.0,22.0,16.0
89,114.0,176.0,1355.0,1009.0,148.0,1445.0,1696.0,169.0,8789.0,109.0,461.0,28.0,22.0
90,119.0,161.0,1262.0,1002.0,145.0,1416.0,1677.0,193.0,8474.0,107.0,383.0,28.0,28.0
91,104.0,113.0,980.0,880.0,93.0,1281.0,1525.0,212.0,7812.0,75.0,314.0,2.0,28.0
92,102.0,103.0,872.0,879.0,84.0,1207.0,1490.0,214.0,7616.0,75.0,302.0,18.0,2.0
93,107.0,112.0,900.0,906.0,99.0,1258.0,1511.0,219.0,7525.0,82.0,290.0,19.0,18.0
94,129.0,170.0,1099.0,1045.0,150.0,1458.0,1646.0,222.0,7516.0,119.0,284.0,3.0,19.0
95,128.0,180.0,1206.0,1051.0,156.0,1438.0,1668.0,213.0,7696.0,120.0,308.0,29.0,3.0
96,121.0,160.0,1262.0,1055.0,122.0,1478.0,1671.0,197.0,8307.0,122.0,367.0,25.0,29.0
97,157.0,261.0,1698.0,1312.0,262.0,1808.0,1993.0,184.0,8732.0,206.0,417.0,46.0,25.0
98,173.0,325.0,1905.0,1381.0,341.0,1898.0,2103.0,176.0,9210.0,231.0,461.0,59.0,46.0
99,146.0,217.0,1648.0,1140.0,214.0,1560.0,1818.0,167.0,9320.0,147.0,496.0,34.0,59.0
100,121.0,146.0,1423.0,940.0,100.0,1324.0,1587.0,163.0,9341.0,90.0,510.0,21.0,34.0
101,119.0,152.0,1349.0,933.0,79.0,1349.0,1617.0,147.0,9314.0,88.0,559.0,22.0,21.0
102,99.0,104.0,1250.0,872.0,66.0,1239.0,1547.0,148.0,9164.0,74.0,547.0,18.0,22.0
103,93.0,106.0,1174.0,853.0,73.0,1239.0,1543.0,140.0,9094.0,69.0,570.0,18.0,18.0
104,88.0,108.0,1149.0,855.0,66.0,1224.0,1566.0,134.0,9361.0,70.0,613.0,18.0,18.0
105,-200.0,-200.0,1021.0,734.0,44.0,1078.0,1487.0,126.0,9230.0,44.0,635.0,11.0,18.0
106,71.0,66.0,1013.0,711.0,44.0,1078.0,1468.0,123.0,9351.0,40.0,654.0,-200.0,11.0
107,74.0,88.0,1010.0,703.0,39.0,1075.0,1464.0,119.0,9375.0,39.0,674.0,1.0,-200.0
108,80.0,138.0,1083.0,830.0,51.0,1157.0,1584.0,114.0,9475.0,64.0,705.0,14.0,1.0
109,89.0,228.0,1235.0,966.0,107.0,1314.0,1710.0,113.0,9401.0,97.0,702.0,22.0,14.0
110,114.0,360.0,1680.0,1451.0,336.0,1797.0,2323.0,124.0,9170.0,259.0,639.0,55.0,22.0
111,149.0,478.0,2184.0,1701.0,618.0,1961.0,2665.0,148.0,9076.0,367.0,543.0,81.0,55.0
112,157.0,394.0,1973.0,1470.0,438.0,1771.0,2262.0,174.0,8993.0,266.0,456.0,58.0,81.0
113,155.0,319.0,1798.0,1300.0,334.0,1564.0,2029.0,198.0,8801.0,201.0,385.0,42.0,58.0
114,134.0,201.0,1522.0,1120.0,221.0,1430.0,1783.0,220.0,8904.0,141.0,341.0,31.0,42.0
115,119.0,171.0,1404.0,1146.0,207.0,1417.0,1831.0,233.0,9096.0,149.0,322.0,29.0,31.0
116,111.0,159.0,1263.0,1162.0,191.0,1400.0,1829.0,239.0,8757.0,154.0,300.0,29.0,29.0
117,104.0,153.0,1137.0,1053.0,185.0,1317.0,1707.0,244.0,8736.0,121.0,289.0,25.0,29.0
118,99.0,143.0,1068.0,1033.0,141.0,1318.0,1675.0,244.0,8848.0,115.0,294.0,23.0,25.0
119,110.0,156.0,1252.0,1141.0,214.0,1445.0,1824.0,238.0,9137.0,148.0,313.0,28.0,23.0
120,162.0,314.0,1843.0,1601.0,471.0,1917.0,2447.0,225.0,9547.0,321.0,354.0,61.0,28.0
121,187.0,404.0,2122.0,1754.0,685.0,2040.0,2679.0,204.0,10086.0,392.0,425.0,8.0,61.0
122,165.0,320.0,1992.0,1573.0,538.0,1895.0,2443.0,183.0,10945.0,310.0,526.0,65.0,8.0
123,145.0,256.0,1707.0,1294.0,319.0,1595.0,2058.0,167.0,10786.0,199.0,574.0,42.0,65.0
124,125.0,193.0,1494.0,1159.0,224.0,1439.0,1856.0,157.0,10654.0,153.0,602.0,32.0,42.0
125,101.0,89.0,1164.0,852.0,67.0,1142.0,1547.0,153.0,10580.0,69.0,614.0,14.0,32.0
126,103.0,127.0,1272.0,1019.0,155.0,1304.0,1731.0,141.0,10494.0,111.0,657.0,21.0,14.0
127,88.0,79.0,1040.0,784.0,49.0,1074.0,1483.0,148.0,10148.0,54.0,606.0,12.0,21.0
128,61.0,43.0,867.0,640.0,29.0,968.0,1386.0,148.0,9879.0,28.0,592.0,8.0,12.0
129,-200.0,-200.0,826.0,608.0,25.0,929.0,1364.0,136.0,9636.0,23.0,621.0,7.0,8.0
130,59.0,59.0,840.0,626.0,25.0,941.0,1373.0,123.0,9450.0,26.0,662.0,-200.0,7.0
131,52.0,38.0,793.0,585.0,17.0,937.0,1348.0,128.0,9283.0,20.0,632.0,6.0,-200.0
132,64.0,82.0,870.0,681.0,27.0,1017.0,1418.0,112.0,9081.0,35.0,685.0,9.0,6.0
133,70.0,99.0,930.0,770.0,50.0,1171.0,1467.0,110.0,8705.0,51.0,665.0,13.0,9.0
134,97.0,263.0,1407.0,1185.0,218.0,1541.0,1889.0,117.0,8719.0,162.0,637.0,34.0,13.0
135,95.0,229.0,1507.0,1287.0,285.0,1539.0,2055.0,136.0,8743.0,197.0,563.0,37.0,34.0
136,150.0,396.0,1843.0,1431.0,437.0,1735.0,2211.0,178.0,8672.0,251.0,429.0,53.0,37.0
137,162.0,314.0,1729.0,1297.0,327.0,1571.0,1973.0,214.0,8417.0,200.0,333.0,41.0,53.0
138,154.0,217.0,1583.0,1250.0,283.0,1452.0,1868.0,244.0,8231.0,183.0,274.0,33.0,41.0
139,161.0,252.0,1671.0,1359.0,366.0,1579.0,1998.0,253.0,8264.0,223.0,261.0,4.0,33.0
140,161.0,263.0,1491.0,1309.0,318.0,1466.0,1897.0,258.0,7589.0,204.0,232.0,38.0,4.0
141,128.0,180.0,1240.0,1136.0,228.0,1280.0,1675.0,270.0,7094.0,146.0,202.0,28.0,38.0
142,129.0,184.0,1313.0,1197.0,201.0,1407.0,1759.0,282.0,7014.0,166.0,186.0,29.0,28.0
143,133.0,190.0,1363.0,1173.0,199.0,1389.0,1739.0,280.0,7098.0,158.0,191.0,29.0,29.0
144,139.0,184.0,1296.0,1235.0,237.0,1447.0,1778.0,239.0,7519.0,178.0,257.0,34.0,29.0
145,137.0,181.0,1432.0,1271.0,261.0,1551.0,1875.0,213.0,8730.0,191.0,348.0,39.0,34.0
146,143.0,166.0,1432.0,1173.0,230.0,1474.0,1776.0,204.0,8704.0,158.0,367.0,32.0,39.0
147,177.0,317.0,2034.0,1426.0,349.0,1800.0,2106.0,190.0,9007.0,249.0,413.0,51.0,32.0
148,138.0,184.0,1602.0,1101.0,183.0,1379.0,1710.0,179.0,9342.0,135.0,459.0,26.0,51.0
149,117.0,130.0,1362.0,943.0,88.0,1201.0,1560.0,167.0,9226.0,91.0,489.0,17.0,26.0
150,107.0,132.0,1314.0,925.0,85.0,1205.0,1547.0,155.0,9271.0,86.0,529.0,17.0,17.0
151,90.0,95.0,1114.0,784.0,47.0,1072.0,1442.0,155.0,9059.0,54.0,519.0,12.0,17.0
152,79.0,70.0,992.0,714.0,34.0,998.0,1383.0,141.0,8910.0,41.0,556.0,9.0,12.0
153,-200.0,-200.0,884.0,625.0,26.0,933.0,1332.0,131.0,8666.0,26.0,579.0,7.0,9.0
154,60.0,54.0,808.0,577.0,17.0,883.0,1303.0,127.0,8447.0,19.0,579.0,-200.0,7.0
155,40.0,28.0,667.0,554.0,11.0,869.0,1268.0,118.0,8026.0,16.0,580.0,5.0,-200.0
156,53.0,46.0,733.0,576.0,18.0,891.0,1289.0,119.0,7978.0,19.0,574.0,5.0,5.0
157,84.0,160.0,1052.0,878.0,84.0,1173.0,1556.0,99.0,7956.0,75.0,652.0,16.0,5.0
158,108.0,320.0,1534.0,1334.0,260.0,1587.0,1999.0,111.0,7958.0,214.0,602.0,41.0,16.0
159,127.0,377.0,1931.0,1696.0,534.0,1852.0,2535.0,141.0,8020.0,364.0,500.0,66.0,41.0
160,134.0,280.0,1734.0,1331.0,368.0,1522.0,2026.0,177.0,8048.0,213.0,401.0,43.0,66.0
161,135.0,221.0,1595.0,1161.0,200.0,1438.0,1782.0,211.0,8265.0,154.0,334.0,29.0,43.0
162,142.0,210.0,1490.0,1067.0,145.0,1393.0,1654.0,243.0,8471.0,125.0,283.0,25.0,29.0
163,153.0,204.0,1508.0,1152.0,188.0,1452.0,1747.0,256.0,8254.0,151.0,256.0,28.0,25.0
164,123.0,161.0,1334.0,1108.0,152.0,1389.0,1712.0,259.0,8503.0,137.0,259.0,26.0,28.0
165,104.0,135.0,1045.0,994.0,103.0,1207.0,1520.0,268.0,6500.0,104.0,187.0,2.0,26.0
166,129.0,186.0,1221.0,1154.0,193.0,1365.0,1679.0,293.0,6309.0,152.0,158.0,29.0,2.0
167,114.0,147.0,1069.0,1060.0,134.0,1247.0,1525.0,285.0,5708.0,123.0,149.0,25.0,29.0
168,158.0,299.0,1569.0,1478.0,386.0,1557.0,1981.0,259.0,5237.0,270.0,160.0,5.0,25.0
169,194.0,411.0,2306.0,1737.0,577.0,1973.0,2414.0,231.0,7403.0,384.0,265.0,76.0,5.0
170,182.0,347.0,2359.0,1667.0,523.0,1975.0,2416.0,205.0,9133.0,351.0,382.0,67.0,76.0
171,180.0,336.0,2050.0,1485.0,472.0,1795.0,2174.0,191.0,9294.0,272.0,426.0,57.0,67.0
172,136.0,202.0,1727.0,1150.0,206.0,1444.0,1727.0,172.0,8558.0,150.0,441.0,28.0,57.0
173,127.0,178.0,1705.0,1171.0,216.0,1488.0,1778.0,160.0,9206.0,157.0,509.0,26.0,28.0
174,116.0,154.0,1551.0,1083.0,159.0,1371.0,1669.0,148.0,9024.0,130.0,539.0,23.0,26.0
175,107.0,92.0,1240.0,904.0,70.0,1161.0,1502.0,143.0,8975.0,81.0,554.0,14.0,23.0
176,88.0,61.0,1115.0,787.0,44.0,1064.0,1407.0,148.0,8686.0,55.0,521.0,1.0,14.0
177,-200.0,-200.0,969.0,687.0,42.0,970.0,1351.0,139.0,8501.0,36.0,539.0,7.0,1.0
178,78.0,60.0,925.0,645.0,28.0,954.0,1334.0,116.0,8442.0,29.0,619.0,-200.0,7.0
179,57.0,37.0,828.0,623.0,20.0,931.0,1307.0,120.0,8233.0,25.0,589.0,6.0,-200.0
180,71.0,68.0,893.0,650.0,26.0,938.0,1333.0,109.0,8113.0,30.0,621.0,7.0,6.0
181,85.0,139.0,1075.0,885.0,78.0,1166.0,1551.0,106.0,8067.0,77.0,633.0,15.0,7.0
182,124.0,339.0,1610.0,1384.0,319.0,1643.0,2094.0,115.0,8117.0,233.0,600.0,47.0,15.0
183,151.0,421.0,2051.0,1682.0,506.0,1934.0,2468.0,143.0,8186.0,358.0,506.0,66.0,47.0
184,150.0,349.0,1819.0,1333.0,-200.0,1617.0,2010.0,178.0,8210.0,213.0,405.0,45.0,66.0
185,152.0,224.0,1568.0,1127.0,-200.0,1473.0,1752.0,208.0,8365.0,143.0,344.0,28.0,45.0
186,139.0,171.0,1374.0,1068.0,-200.0,1379.0,1663.0,238.0,8219.0,125.0,282.0,22.0,28.0
187,133.0,149.0,1268.0,1056.0,-200.0,1385.0,1648.0,242.0,8515.0,122.0,287.0,22.0,22.0
188,126.0,137.0,1144.0,1087.0,-200.0,1379.0,1660.0,252.0,7829.0,131.0,249.0,23.0,22.0
189,128.0,149.0,1109.0,1129.0,-200.0,1322.0,1639.0,270.0,6275.0,144.0,178.0,22.0,23.0
190,169.0,172.0,1347.0,1205.0,-200.0,1496.0,1767.0,271.0,8180.0,168.0,231.0,28.0,22.0
191,149.0,166.0,1206.0,1131.0,-200.0,1409.0,1689.0,258.0,7832.0,145.0,239.0,27.0,28.0
192,156.0,214.0,1397.0,1338.0,-200.0,1513.0,1957.0,230.0,7446.0,215.0,268.0,37.0,27.0
193,168.0,280.0,1588.0,1464.0,-200.0,1667.0,2118.0,207.0,7523.0,264.0,311.0,51.0,37.0
194,176.0,276.0,1569.0,1453.0,-200.0,1667.0,2051.0,186.0,7676.0,260.0,362.0,51.0,51.0
195,135.0,178.0,1322.0,1121.0,-200.0,1430.0,1732.0,160.0,8768.0,141.0,484.0,32.0,51.0
196,121.0,129.0,1194.0,989.0,-200.0,1333.0,1621.0,145.0,9456.0,103.0,578.0,21.0,32.0
197,99.0,95.0,1062.0,911.0,-200.0,1262.0,1545.0,131.0,9606.0,83.0,642.0,17.0,21.0
198,106.0,126.0,1040.0,936.0,-200.0,1287.0,1606.0,120.0,9735.0,89.0,697.0,2.0,17.0
199,96.0,103.0,917.0,840.0,-200.0,1134.0,1501.0,119.0,9915.0,66.0,711.0,16.0,2.0
200,63.0,48.0,594.0,688.0,-200.0,999.0,1380.0,125.0,10029.0,36.0,693.0,9.0,16.0
201,-200.0,-200.0,430.0,622.0,-200.0,961.0,1301.0,125.0,9768.0,25.0,675.0,7.0,9.0
202,32.0,20.0,397.0,569.0,-200.0,934.0,1280.0,123.0,9665.0,18.0,677.0,-200.0,7.0
203,28.0,18.0,370.0,525.0,-200.0,913.0,1260.0,125.0,9620.0,13.0,668.0,5.0,-200.0
204,61.0,56.0,438.0,607.0,-200.0,969.0,1324.0,123.0,9487.0,23.0,663.0,7.0,5.0
205,99.0,115.0,704.0,845.0,-200.0,1182.0,1539.0,124.0,9332.0,67.0,649.0,15.0,7.0
206,157.0,320.0,1476.0,1372.0,-200.0,1740.0,2144.0,130.0,9209.0,228.0,616.0,48.0,15.0
207,166.0,357.0,1716.0,1582.0,-200.0,1819.0,2456.0,136.0,9120.0,313.0,588.0,62.0,48.0
208,149.0,253.0,1398.0,1275.0,-200.0,1427.0,1980.0,139.0,9032.0,192.0,571.0,4.0,62.0
209,135.0,218.0,1268.0,1191.0,-200.0,1390.0,1879.0,145.0,8917.0,164.0,544.0,33.0,4.0
210,127.0,192.0,1188.0,1117.0,-200.0,1283.0,1751.0,155.0,8744.0,140.0,501.0,28.0,33.0
211,122.0,176.0,1171.0,1157.0,-200.0,1304.0,1801.0,161.0,8655.0,153.0,476.0,3.0,28.0
212,135.0,198.0,1250.0,1202.0,-200.0,1364.0,1875.0,163.0,8640.0,167.0,471.0,33.0,3.0
213,139.0,212.0,1344.0,1268.0,-200.0,1410.0,1957.0,164.0,8791.0,190.0,475.0,35.0,33.0
214,147.0,249.0,1378.0,1280.0,-200.0,1476.0,1955.0,161.0,9094.0,194.0,502.0,4.0,35.0
215,158.0,270.0,1435.0,1320.0,-200.0,1522.0,2005.0,160.0,9142.0,209.0,507.0,46.0,4.0
216,146.0,231.0,1372.0,1301.0,-200.0,1442.0,1952.0,158.0,8989.0,202.0,503.0,41.0,46.0
217,144.0,251.0,1471.0,1344.0,-200.0,1469.0,1997.0,155.0,8840.0,217.0,506.0,45.0,41.0
218,138.0,210.0,1439.0,1292.0,-200.0,1467.0,1942.0,154.0,8956.0,198.0,514.0,39.0,45.0
219,143.0,249.0,1429.0,1202.0,-200.0,1421.0,1854.0,152.0,9117.0,167.0,531.0,4.0,39.0
220,116.0,143.0,1081.0,945.0,-200.0,1175.0,1604.0,147.0,9573.0,91.0,576.0,22.0,4.0
221,109.0,127.0,993.0,912.0,-200.0,1215.0,1547.0,142.0,9380.0,83.0,583.0,21.0,22.0
222,92.0,104.0,837.0,802.0,-200.0,1127.0,1447.0,138.0,9085.0,58.0,579.0,17.0,21.0
223,83.0,86.0,761.0,773.0,-200.0,1090.0,1429.0,139.0,8842.0,52.0,559.0,16.0,17.0
224,81.0,74.0,650.0,718.0,-200.0,1017.0,1382.0,139.0,8765.0,41.0,556.0,13.0,16.0
225,-200.0,-200.0,591.0,677.0,-200.0,997.0,1359.0,138.0,8666.0,34.0,551.0,13.0,13.0
226,55.0,44.0,505.0,646.0,-200.0,945.0,1332.0,138.0,8574.0,29.0,546.0,-200.0,13.0
227,53.0,42.0,518.0,661.0,-200.0,956.0,1351.0,136.0,8560.0,31.0,551.0,8.0,-200.0
228,67.0,63.0,571.0,622.0,-200.0,966.0,1342.0,136.0,9129.0,25.0,590.0,8.0,8.0
229,91.0,115.0,842.0,728.0,-200.0,1064.0,1461.0,135.0,8960.0,43.0,584.0,11.0,8.0
230,113.0,170.0,1145.0,935.0,-200.0,1300.0,1623.0,138.0,9083.0,89.0,580.0,21.0,11.0
231,102.0,147.0,1218.0,998.0,-200.0,1348.0,1689.0,146.0,8765.0,105.0,531.0,24.0,21.0
232,107.0,166.0,1341.0,1068.0,-200.0,1425.0,1764.0,150.0,8881.0,125.0,523.0,26.0,24.0
233,113.0,195.0,1406.0,1061.0,-200.0,1474.0,1768.0,154.0,9046.0,123.0,521.0,28.0,26.0
234,108.0,182.0,1422.0,1039.0,-200.0,1490.0,1757.0,163.0,9158.0,117.0,500.0,26.0,28.0
235,105.0,168.0,1373.0,1040.0,-200.0,1495.0,1735.0,171.0,9281.0,117.0,479.0,26.0,26.0
236,93.0,125.0,1153.0,953.0,-200.0,1376.0,1636.0,190.0,9370.0,93.0,429.0,21.0,26.0
