,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),NMHC(GT),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),target
129,0,0,826,608,25,929,1364,136,9636,23,621,7,8
130,59,59,840,626,25,941,1373,123,9450,26,662,0,7
131,52,38,793,585,17,937,1348,128,9283,20,632,6,0
132,64,82,870,681,27,1017,1418,112,9081,35,685,9,6
133,70,99,930,770,50,1171,1467,110,8705,51,665,13,9
134,97,263,1407,1185,218,1541,1889,117,8719,162,637,34,13
135,95,229,1507,1287,285,1539,2055,136,8743,197,563,37,34
136,150,396,1843,1431,437,1735,2211,178,8672,251,429,53,37
137,162,314,1729,1297,327,1571,1973,214,8417,200,333,41,53
138,154,217,1583,1250,283,1452,1868,244,8231,183,274,33,41
139,161,252,1671,1359,366,1579,1998,253,8264,223,261,4,33
140,161,263,1491,1309,318,1466,1897,258,7589,204,232,38,4
141,128,180,1240,1136,228,1280,1675,270,7094,146,202,28,38
142,129,184,1313,1197,201,1407,1759,282,7014,166,186,29,28
143,133,190,1363,1173,199,1389,1739,280,7098,158,191,29,29
144,139,184,1296,1235,237,1447,1778,239,7519,178,257,34,29
145,137,181,1432,1271,261,1551,1875,213,8730,191,348,39,34
146,143,166,1432,1173,230,1474,1776,204,8704,158,367,32,39
147,177,317,2034,1426,349,1800,2106,190,9007,249,413,51,32
148,138,184,1602,1101,183,1379,1710,179,9342,135,459,26,51
149,117,130,1362,943,88,1201,1560,167,9226,91,489,17,26
150,107,132,1314,925,85,1205,1547,155,9271,86,529,17,17
151,90,95,1114,784,47,1072,1442,155,9059,54,519,12,17
152,79,70,992,714,34,998,1383,141,8910,41,556,9,12
153,0,0,884,625,26,933,1332,131,8666,26,579,7,9
154,60,54,808,577,17,883,1303,127,8447,19,579,0,7
155,40,28,667,554,11,869,1268,118,8026,16,580,5,0
156,53,46,733,576,18,891,1289,119,7978,19,574,5,5
157,84,160,1052,878,84,1173,1556,99,7956,75,652,16,5
158,108,320,1534,1334,260,1587,1999,111,7958,214,602,41,16
159,127,377,1931,1696,534,1852,2535,141,8020,364,500,66,41
160,134,280,1734,1331,368,1522,2026,177,8048,213,401,43,66
161,135,221,1595,1161,200,1438,1782,211,8265,154,334,29,43
162,142,210,1490,1067,145,1393,1654,243,8471,125,283,25,29
163,153,204,1508,1152,188,1452,1747,256,8254,151,256,28,25
164,123,161,1334,1108,152,1389,1712,259,8503,137,259,26,28
165,104,135,1045,994,103,1207,1520,268,6500,104,187,2,26
166,129,186,1221,1154,193,1365,1679,293,6309,152,158,29,2
167,114,147,1069,1060,134,1247,1525,285,5708,123,149,25,29
168,158,299,1569,1478,386,1557,1981,259,5237,270,160,5,25
169,194,411,2306,1737,577,1973,2414,231,7403,384,265,76,5
170,182,347,2359,1667,523,1975,2416,205,9133,351,382,67,76
171,180,336,2050,1485,472,1795,2174,191,9294,272,426,57,67
172,136,202,1727,1150,206,1444,1727,172,8558,150,441,28,57
173,127,178,1705,1171,216,1488,1778,160,9206,157,509,26,28
174,116,154,1551,1083,159,1371,1669,148,9024,130,539,23,26
175,107,92,1240,904,70,1161,1502,143,8975,81,554,14,23
176,88,61,1115,787,44,1064,1407,148,8686,55,521,1,14
177,0,0,969,687,42,970,1351,139,8501,36,539,7,1
178,78,60,925,645,28,954,1334,116,8442,29,619,0,7
179,57,37,828,623,20,931,1307,120,8233,25,589,6,0
180,71,68,893,650,26,938,1333,109,8113,30,621,7,6
181,85,139,1075,885,78,1166,1551,106,8067,77,633,15,7
182,124,339,1610,1384,319,1643,2094,115,8117,233,600,47,15
183,151,421,2051,1682,506,1934,2468,143,8186,358,506,66,47
184,150,349,1819,1333,0,1617,2010,178,8210,213,405,45,66
185,152,224,1568,1127,0,1473,1752,208,8365,143,344,28,45
186,139,171,1374,1068,0,1379,1663,238,8219,125,282,22,28
187,133,149,1268,1056,0,1385,1648,242,8515,122,287,22,22
188,126,137,1144,1087,0,1379,1660,252,7829,131,249,23,22
189,128,149,1109,1129,0,1322,1639,270,6275,144,178,22,23
190,169,172,1347,1205,0,1496,1767,271,8180,168,231,28,22
191,149,166,1206,1131,0,1409,1689,258,7832,145,239,27,28
192,156,214,1397,1338,0,1513,1957,230,7446,215,268,37,27
193,168,280,1588,1464,0,1667,2118,207,7523,264,311,51,37
194,176,276,1569,1453,0,1667,2051,186,7676,260,362,51,51
195,135,178,1322,1121,0,1430,1732,160,8768,141,484,32,51
196,121,129,1194,989,0,1333,1621,145,9456,103,578,21,32
197,99,95,1062,911,0,1262,1545,131,9606,83,642,17,21
198,106,126,1040,936,0,1287,1606,120,9735,89,697,2,17
199,96,103,917,840,0,1134,1501,119,9915,66,711,16,2
200,63,48,594,688,0,999,1380,125,10029,36,693,9,16
201,0,0,430,622,0,961,1301,125,9768,25,675,7,9
202,32,20,397,569,0,934,1280,123,9665,18,677,0,7
203,28,18,370,525,0,913,1260,125,9620,13,668,5,0
204,61,56,438,607,0,969,1324,123,9487,23,663,7,5
205,99,115,704,845,0,1182,1539,124,9332,67,649,15,7
206,157,320,1476,1372,0,1740,2144,130,9209,228,616,48,15
207,166,357,1716,1582,0,1819,2456,136,9120,313,588,62,48
208,149,253,1398,1275,0,1427,1980,139,9032,192,571,4,62
209,135,218,1268,1191,0,1390,1879,145,8917,164,544,33,4
210,127,192,1188,1117,0,1283,1751,155,8744,140,501,28,33
211,122,176,1171,1157,0,1304,1801,161,8655,153,476,3,28
212,135,198,1250,1202,0,1364,1875,163,8640,167,471,33,3
213,139,212,1344,1268,0,1410,1957,164,8791,190,475,35,33
214,147,249,1378,1280,0,1476,1955,161,9094,194,502,4,35
215,158,270,1435,1320,0,1522,2005,160,9142,209,507,46,4
216,146,231,1372,1301,0,1442,1952,158,8989,202,503,41,46
217,144,251,1471,1344,0,1469,1997,155,8840,217,506,45,41
218,138,210,1439,1292,0,1467,1942,154,8956,198,514,39,45
219,143,249,1429,1202,0,1421,1854,152,9117,167,531,4,39
220,116,143,1081,945,0,1175,1604,147,9573,91,576,22,4
221,109,127,993,912,0,1215,1547,142,9380,83,583,21,22
222,92,104,837,802,0,1127,1447,138,9085,58,579,17,21
223,83,86,761,773,0,1090,1429,139,8842,52,559,16,17
224,81,74,650,718,0,1017,1382,139,8765,41,556,13,16
225,0,0,591,677,0,997,1359,138,8666,34,551,13,13
226,55,44,505,646,0,945,1332,138,8574,29,546,0,13
227,53,42,518,661,0,956,1351,136,8560,31,551,8,0
228,67,63,571,622,0,966,1342,136,9129,25,590,8,8
229,91,115,842,728,0,1064,1461,135,8960,43,584,11,8
230,113,170,1145,935,0,1300,1623,138,9083,89,580,21,11
231,102,147,1218,998,0,1348,1689,146,8765,105,531,24,21
232,107,166,1341,1068,0,1425,1764,150,8881,125,523,26,24
233,113,195,1406,1061,0,1474,1768,154,9046,123,521,28,26
234,108,182,1422,1039,0,1490,1757,163,9158,117,500,26,28
235,105,168,1373,1040,0,1495,1735,171,9281,117,479,26,26
236,93,125,1153,953,0,1376,1636,190,9370,93,429,21,26
237,87,95,927,884,0,1305,1573,195,9476,76,423,17,21
238,76,79,766,844,0,1283,1539,195,9493,67,423,16,17
239,94,119,941,967,0,1392,1649,191,9556,97,438,21,16
240,110,142,1146,1063,0,1452,1774,185,9744,124,463,23,21
241,136,215,1417,1199,0,1633,1919,174,10159,166,516,35,23
242,139,229,1442,1191,0,1625,1885,171,9914,164,513,39,35
243,125,206,1323,1108,0,1535,1820,164,9964,137,538,33,39
244,111,147,1125,973,0,1323,1712,162,10132,99,554,23,33
245,97,122,1036,937,0,1309,1672,159,10356,89,577,21,23
246,107,175,1202,999,0,1456,1714,157,10396,106,586,28,21
247,90,133,1054,872,0,1300,1577,151,10398,74,609,21,28
248,84,89,903,823,0,1203,1526,156,9951,62,566,16,21
249,0,0,885,836,0,1195,1554,152,9941,65,579,16,16
250,87,85,818,802,0,1117,1539,154,10021,58,578,0,16
251,66,55,700,711,0,1062,1461,149,10196,40,606,11,0
252,36,24,580,594,0,947,1390,145,10316,21,630,7,11
253,62,72,815,687,0,1065,1492,142,10630,36,662,8,7
254,91,122,1035,734,0,1155,1528,145,10704,44,653,12,8
255,89,111,1067,782,0,1220,1560,153,10730,54,621,14,12
256,93,123,1114,862,0,1301,1633,163,10868,71,590,17,14
257,81,106,1000,870,0,1279,1646,189,10700,73,496,18,17
258,82,103,906,883,0,1267,1617,194,10249,76,461,18,18
259,80,102,822,848,0,1239,1568,208,10091,68,416,19,18
260,48,48,610,742,0,1128,1507,214,10126,46,403,13,19
261,61,63,657,916,0,1243,1669,212,9791,84,393,16,13
262,89,98,647,853,0,1208,1506,203,8942,69,380,19,16
263,105,132,762,938,0,1306,1607,194,9206,90,413,23,19
264,116,173,1122,1151,0,1546,1874,185,9252,151,438,38,23
265,119,185,1130,1071,0,1501,1744,178,9689,126,481,35,38
266,144,266,1637,1153,0,1605,1840,179,9520,151,469,43,35
267,123,188,1272,974,0,1316,1673,174,9688,99,491,28,43
268,105,122,1098,898,0,1195,1594,170,9914,80,517,19,28
269,93,112,1066,896,0,1211,1624,164,10198,79,551,19,19
270,86,93,909,815,0,1161,1582,161,10919,61,600,17,19
271,76,74,818,767,0,1095,1547,158,10805,51,605,15,17
272,33,23,472,563,0,897,1355,163,10491,17,570,6,15
273,0,0,394,468,0,842,1274,169,10309,7,539,4,6
274,27,17,396,481,0,854,1304,161,10153,8,559,0,4
275,23,15,378,472,0,845,1278,165,10049,7,539,3,0
276,46,41,432,586,0,942,1373,164,9979,20,540,6,3
277,76,86,699,768,0,1090,1538,157,10195,51,576,12,6
278,116,226,1252,1230,0,1514,1996,158,9571,177,537,36,12
279,115,214,1237,1252,0,1379,1962,174,8281,184,421,37,36
280,83,115,772,854,0,1074,1484,179,7793,69,384,18,37
281,87,124,766,868,0,1090,1509,185,7764,73,367,16,18
282,90,122,829,964,0,1110,1577,210,7263,96,296,19,16
283,87,107,783,994,0,1102,1599,213,7067,104,281,2,19
284,99,133,822,1021,0,1100,1607,213,6539,112,261,22,2
285,99,130,813,1003,0,1094,1574,213,6681,107,268,21,22
286,101,150,813,1034,451,1076,1544,213,6060,116,242,23,21
287,103,138,850,1062,185,1152,1606,202,6682,124,285,26,23
288,129,213,1276,1249,426,1407,1932,170,8264,183,431,38,26
289,143,232,1401,1325,672,1438,1993,156,8347,210,474,44,38
290,146,238,1356,1325,624,1425,1965,153,8178,210,474,45,44
291,124,180,1243,1131,325,1279,1758,145,8177,145,497,33,45
292,113,128,1083,916,143,1132,1561,139,8231,84,520,2,33
293,80,65,795,729,89,1006,1370,145,8106,43,494,11,2
294,72,53,735,700,73,982,1359,138,8071,38,514,9,11
295,64,47,684,636,48,969,1309,140,8163,27,513,8,9
296,70,51,714,621,47,941,1330,130,8444,25,568,7,8
297,0,0,456,522,36,892,1285,110,9215,12,700,5,7
298,31,20,401,478,25,855,1261,101,9483,8,768,0,5
299,22,13,361,459,19,834,1212,88,9147,6,805,3,0
300,47,33,418,567,26,909,1287,96,9004,18,754,5,3
301,88,103,616,745,60,1061,1429,98,9093,46,750,11,5
302,130,224,1089,1124,248,1441,1829,100,9117,142,742,3,11
303,132,244,1329,1325,535,1498,2095,112,9232,210,697,38,3
304,132,237,1311,1185,340,1343,1857,120,8803,162,629,34,38
305,131,220,1236,1166,325,1308,1794,128,8210,155,558,3,34
306,129,207,1147,1097,267,1209,1746,131,8234,134,548,27,3
307,132,208,1301,1207,325,1310,1847,138,8351,169,534,35,27
308,110,160,1097,1064,268,1171,1639,160,7674,124,424,28,35
309,99,131,900,980,136,1112,1589,141,7971,101,498,19,28
310,100,128,781,927,118,1132,1570,120,8537,87,611,2,19
311,122,176,1013,1111,276,1225,1719,136,8465,138,546,3,2
312,97,107,790,953,151,1065,1514,137,7695,93,495,19,3
313,112,131,1059,1084,236,1236,1688,117,7822,130,571,27,19
314,128,166,1205,1126,220,1309,1722,115,7867,143,582,33,27
315,101,89,975,884,87,1089,1487,126,7881,76,542,17,33
316,96,81,896,776,81,1000,1375,120,7664,53,549,13,17
317,86,78,911,782,74,1041,1425,110,8057,54,614,13,13
318,85,70,902,756,55,1045,1411,111,8199,49,622,12,13
319,79,76,832,744,74,997,1405,108,8082,46,625,11,12
320,61,43,715,634,35,948,1326,113,8025,27,600,9,11
321,0,0,683,551,29,878,1272,106,7856,16,616,6,9
322,66,44,721,559,29,908,1287,102,7813,17,627,0,6
323,54,34,648,522,20,892,1255,109,7628,12,586,6,0
324,57,43,612,561,32,954,1255,108,7382,17,572,8,6
325,75,79,800,751,84,1045,1403,104,7455,48,592,12,8
326,97,174,1173,1109,245,1383,1706,110,7501,138,573,31,12
327,110,235,1519,1395,553,1597,2080,112,7565,237,569,44,31
328,113,218,1287,1124,450,1318,1770,121,7734,142,549,34,44
329,88,136,966,898,118,1138,1505,151,7535,80,443,17,34
330,85,117,828,842,118,1098,1440,156,7146,67,406,15,17
331,96,119,825,927,144,1118,1477,169,6597,87,346,17,15
332,106,126,872,1009,159,1170,1566,166,6697,108,356,22,17
333,91,100,680,842,122,1112,1494,113,8554,67,639,0,22
334,126,197,1002,1028,230,1390,1730,96,9720,114,811,27,0
335,130,195,1159,1096,320,1353,1783,117,9497,134,691,28,27
336,111,156,979,1050,263,1260,1722,107,8794,120,685,27,28
337,134,247,1311,1302,556,1501,2008,107,8643,202,673,45,27
338,136,190,1071,1130,458,1273,1744,108,8486,144,657,35,45
339,125,169,899,955,214,1179,1571,103,8336,94,663,26,35
340,108,118,766,809,97,1047,1435,101,8248,59,669,17,26
341,87,81,589,739,79,973,1354,104,7717,45,611,13,17
342,89,80,631,737,81,997,1341,103,7516,45,599,13,13
343,58,42,479,621,52,970,1249,110,7686,25,584,1,13
344,54,38,479,568,38,902,1253,91,7890,18,681,7,1
345,0,0,417,538,35,921,1224,95,8091,14,682,7,7
346,28,18,378,490,29,858,1212,93,8496,9,723,5,7
347,20,12,344,457,21,878,1158,99,8152,6,668,5,5
348,51,43,413,540,46,893,1268,76,8695,14,832,6,5
349,82,84,605,697,55,1038,1383,81,8544,38,790,11,6
350,112,184,991,1035,271,1320,1721,87,8429,116,746,27,11
351,119,202,1175,1235,434,1353,1937,86,8415,178,751,35,27
352,99,133,923,933,300,1133,1552,97,8389,88,697,23,35
353,98,130,829,849,116,1066,1468,110,8447,68,644,16,23
354,88,106,733,809,95,1027,1442,136,8209,59,530,13,16
355,96,132,819,935,211,1106,1570,142,7780,89,484,2,13
356,81,106,723,907,168,1038,1492,142,7438,82,463,19,2
357,92,125,786,924,154,1084,1501,160,7462,86,413,19,19
358,105,138,850,982,267,1105,1545,177,7094,101,354,22,19
359,88,120,820,957,143,1102,1527,171,7225,94,374,2,22
360,103,158,991,1137,374,1240,1748,149,6835,146,405,29,2
361,141,253,1454,1418,797,1443,2060,134,7293,246,478,52,29
362,133,231,1488,1341,698,1389,1982,126,7642,216,525,46,52
363,119,150,1205,989,234,1183,1539,122,7555,103,532,25,46
364,106,99,909,798,104,1014,1376,106,7140,57,561,15,25
365,92,75,769,736,67,979,1324,99,7276,45,595,12,15
366,97,93,835,787,88,1048,1373,96,7323,55,611,17,12
367,91,79,793,753,79,1024,1357,97,7425,48,616,14,17
368,83,67,733,690,61,974,1313,94,7398,36,626,12,14
369,0,0,502,561,43,862,1219,82,7455,17,685,6,12
370,59,45,562,602,40,925,1263,80,7459,22,694,7,6
371,73,72,832,654,52,952,1312,77,7655,30,724,8,7
372,78,103,924,713,64,1005,1363,80,7711,40,718,9,8
373,90,132,974,842,88,1122,1438,85,7375,67,663,16,9
374,110,239,1307,1201,375,1351,1828,98,7214,167,596,34,16
375,114,275,1481,1278,592,1408,1928,112,7544,193,570,38,34
376,119,232,1405,1142,357,1304,1747,148,7407,148,441,31,38
377,121,180,1195,1098,296,1207,1664,168,6729,134,353,27,31
378,97,112,868,1014,181,1099,1503,192,5976,110,271,2,27
379,99,116,874,1068,211,1106,1535,191,5741,125,262,23,2
380,85,103,738,916,199,1009,1391,163,5683,84,308,19,23
381,75,89,550,776,81,962,1279,142,5922,53,368,13,19
382,87,112,777,933,143,1093,1454,134,6292,88,410,19,13
383,102,127,966,1023,247,1180,1588,142,6982,112,433,23,19
384,105,125,990,1037,239,1168,1580,121,6403,116,456,24,23
385,98,120,944,1063,267,1168,1540,104,6046,124,480,27,24
386,93,120,962,1000,261,1140,1490,100,6280,106,511,26,27
387,91,99,778,811,97,1001,1308,98,6172,60,508,15,26
388,85,79,690,743,66,953,1252,97,6063,46,504,12,15
389,74,66,644,715,60,972,1258,99,6103,41,502,11,12
390,87,94,753,776,77,1021,1307,94,6300,52,534,15,11
391,79,70,646,664,57,940,1232,86,6488,32,578,1,15
392,78,75,838,736,65,1046,1312,81,6746,45,621,12,1
393,0,0,851,699,59,1026,1292,79,6777,38,635,11,12
394,63,57,801,698,48,983,1296,74,6683,38,648,0,11
395,48,32,665,578,27,915,1212,82,6444,19,589,8,0
396,59,54,717,615,25,935,1250,63,6410,24,666,9,8
397,65,68,795,669,42,976,1266,72,6396,33,629,11,9
398,71,98,936,842,78,1124,1418,72,6500,67,639,15,11
399,84,128,1076,919,128,1163,1530,111,6654,85,505,18,15
400,93,129,1016,966,184,1167,1520,155,6313,97,361,21,18
401,99,130,834,955,156,1121,1451,178,5920,94,292,21,21
402,93,111,756,940,176,1071,1449,176,6013,90,301,19,21
403,96,106,766,979,232,1065,1467,191,5861,100,268,21,19
404,114,137,905,1072,305,1157,1596,177,5735,126,286,25,21
405,101,113,765,883,150,1046,1357,178,5737,76,284,19,25
406,108,122,830,1042,188,1147,1538,187,5555,118,260,22,19
407,117,137,853,1022,221,1119,1508,171,6038,112,313,23,22
408,125,165,981,1062,219,1210,1586,158,6440,124,361,27,23
409,133,196,1286,1079,306,1306,1621,147,6657,129,401,3,27
410,119,174,1244,1057,270,1258,1633,136,6991,122,449,28,3
411,107,140,1056,930,231,1148,1475,125,6946,88,481,22,28
412,96,102,1003,848,125,1108,1421,118,7042,68,508,16,22
413,105,130,1245,924,122,1231,1483,109,7326,86,561,21,16
414,102,121,1200,937,161,1293,1464,109,7277,89,559,23,21
415,97,111,1188,912,101,1274,1451,103,7278,83,581,23,23
416,79,87,1070,827,95,1135,1395,93,7294,63,622,17,23
417,0,0,1075,911,129,1151,1501,82,7276,83,667,22,17
418,69,77,895,769,96,1010,1396,83,7124,51,649,13,22
419,52,39,755,626,54,870,1284,96,7000,26,585,8,13
420,62,77,806,688,63,983,1342,77,6990,36,664,11,8
421,69,91,836,691,72,995,1321,74,7043,36,680,14,11
422,75,105,897,747,91,1024,1382,97,7035,47,586,13,14
423,83,133,1073,880,127,1163,1486,125,7242,75,501,19,13
424,94,128,1088,938,193,1218,1501,168,7018,90,369,23,19
425,96,126,1036,958,188,1210,1514,192,6887,95,313,23,23
426,86,92,768,887,151,1114,1438,213,6607,77,264,18,23
427,72,66,587,796,103,995,1287,212,5768,57,231,14,18
428,53,50,452,700,55,927,1189,186,5319,38,250,1,14
429,65,70,470,754,104,1002,1260,180,5594,48,273,14,1
430,70,73,502,727,116,987,1244,182,5848,43,283,13,14
431,75,77,516,714,93,993,1238,170,6048,41,314,13,13
432,86,86,555,746,93,1012,1301,156,6170,47,350,14,13
433,94,93,671,823,155,1114,1357,141,6438,62,402,19,14
434,103,105,788,789,115,1093,1329,134,6623,55,432,18,19
435,81,67,538,669,75,968,1246,123,6686,33,468,11,18
